ac	name	clade	eco	host	ref
CY036213	grey_heron_Hong_Kong_3088_2007	232	W	A	-
CY036221	common_buzzard_Hong_Kong_9213_2007	232	W	A	-
CY036229	black_crowned_night_heron_Hong_Kong_659_2008	232	W	A	-
CY036237	great_egret_Hong_Kong_807_2008	232	W	A	-
CY036245	grey_heron_Hong_Kong_1046_2008	232	W	A	-
CY036253	magpie_robin_Hong_Kong_1097_2008	232	W	A	-
CY036261	magpie_robin_Hong_Kong_1897_2008	232	W	A	-
CY036269	peregrine_falcon_Hong_Kong_2142_2008	234	W	A	-
CY063318	great_crested_grebe_Qinghai_1_2009	232	W	A	-
CY091627	duck_Guangdong_wy11_2008	234	D	A	-
CY091635	duck_Guangdong_wy19_2008	234	D	A	-
CY091643	duck_Guangdong_wy24_2008	234	D	A	-
CY098603	Sichuan_2_2006	234	D	M	-
CY098634	Shanghai_1_2006	234	D	M	-
CY098641	Hubei_1_2006	234	D	M	-
CY098648	Sichuan_3_2006	234	D	M	-
CY098655	Guangdong_2_2006	234	D	M	-
CY098668	Anhui_1_2006	234	D	M	-
CY098681	Anhui_1_2007	234	D	M	-
CY098688	Hunan_1_2008	234	D	M	-
CY098695	Guangxi_1_2008	234	D	M	-
CY098702	Guangdong_1_2008	234	D	M	-
CY098709	Beijing_1_2009	234	D	M	-
CY098716	Shandong_1_2009	234	D	M	-
CY098723	Hunan_1_2009	234	D	M	-
CY098730	Xinjiang_1_2009	234	D	M	-
CY098737	Guizhou_1_2009	234	D	M	-
CY098744	Guangxi_1_2009	232	D	M	-
CY098751	Hunan_2_2009	234	D	M	-
CY098758	Hubei_1_2010	232	D	M	-
CY098766	water_Hebei_1_2009	234	D	E	21976646
CY098774	water_Hebei_2_2009	234	D	E	21976646
CY098782	water_Hebei_3_2009	234	D	E	21976646
CY098790	duck_feces_Hebei_5_2009	234	D	A	-
CY098798	environment_Guizhou_2_2009	234	D	E	21976646
CY098806	environment_Guizhou_4_2009	234	D	E	21976646
CY098814	environment_Guizhou_7_2009	234	D	E	21976646
CY098822	environment_Guizhou_9_2009	234	D	E	21976646
CY098830	water_Xinjiang_3_2009	234	D	E	21976646
CY098838	environment_Xinjiang_6_2009	234	D	E	21976646
CY098845	water_Hunan_3_2009	234	D	E	21976646
CY098853	water_Hunan_7_2009	232	D	E	21976646
CY146644	duck_Hunan_S4030_2011	232	D	A	-
CY146692	duck_Hunan_S4150_2011	232	D	A	-
CY146700	duck_Hunan_S4220_2011	232	D	A	-
CY146708	duck_Hunan_S4234_2011	232	D	A	-
DQ095626	Chicken_Shantou_810_05	232	D	A	-
DQ095627	Quail_Shantou_911_05	232	D	A	-
DQ095629	Duck_Fujian_1734_05	234	D	A	-
DQ095630	duck_Hunan_114_05	232	D	A	-
DQ095631	Duck_Hunan_191_05	232	D	A	-
DQ320877	duck_Guangxi_351_2004	232	D	A	-
DQ320878	duck_Guangxi_380_2004	232	D	A	-
DQ320894	chicken_Guangxi_2448_2004	232	D	A	-
DQ320895	chicken_Guangxi_2461_2004	232	D	A	-
DQ320896	goose_Guangxi_345_2005	232	D	A	-
DQ320897	quail_Guangxi_575_2005	232	D	A	-
DQ320898	chicken_Guangxi_604_2005	232	D	A	-
DQ320899	duck_Guangxi_793_2005	232	D	A	-
DQ320900	duck_Guangxi_951_2005	232	D	A	-
DQ320902	duck_Hunan_127_2005	232	D	A	-
DQ320903	duck_Hunan_139_2005	232	D	A	-
DQ320904	duck_Hunan_149_2005	232	D	A	-
DQ320905	duck_Hunan_152_2005	232	D	A	-
DQ320906	duck_Hunan_157_2005	232	D	A	-
DQ320907	duck_Hunan_160_2005	232	D	A	-
DQ320908	duck_Hunan_166_2005	232	D	A	-
DQ320909	duck_Hunan_182_2005	232	D	A	-
DQ320910	chicken_Hunan_999_2005	232	D	A	-
DQ320911	duck_Hunan_1265_2005	232	D	A	-
DQ320912	duck_Hunan_1608_2005	232	D	A	-
DQ320913	duck_Hunan_1652_2005	232	D	A	-
DQ320923	grey_heron_Hong_Kong_728_2004	232	W	A	-
DQ320924	grey_heron_Hong_Kong_837_2004	232	W	A	-
DQ320925	Chinese_pond_heron_Hong_Kong_18_2005	232	W	A	-
DQ343150	chicken_Hebei_326_2005	7	D	A	-
DQ371928	Anhui_1_2005	234	D	M	-
DQ371929	Anhui_2_2005	234	D	M	-
DQ371930	Guangxi_1_2005	234	D	M	-
DQ520855	chicken_Zhejiang_24_2005	234	D	A	-
DQ520856	duck_Hubei_3_2005	232	D	A	-
DQ835313	China_GD01_2006	234	D	M	-
DQ842487	goose_Guangzhou_471_2006	234	D	A	-
DQ842489	Guangzhou_1_2006	234	D	M	-
DQ914814	chicken_Shanxi_2_2006	7	D	A	-
DQ992715	duck_Guangxi_2926_2005	232	D	A	-
DQ992716	goose_Guangxi_3017_2005	232	D	A	-
DQ992717	duck_Guangxi_3085_2005	232	D	A	-
DQ992718	chicken_Guangxi_3154_2005	232	D	A	-
DQ992719	goose_Guangxi_3316_2005	232	D	A	-
DQ992720	duck_Guangxi_3364_2005	232	D	A	-
DQ992721	duck_Guangxi_3548_2005	232	D	A	-
DQ992722	goose_Guangxi_3714_2005	232	D	A	-
DQ992723	duck_Guangxi_3741_2005	232	D	A	-
DQ992724	chicken_Guangxi_3791_2005	232	D	A	-
DQ992725	duck_Guangxi_3819_2005	232	D	A	-
DQ992726	duck_Guangxi_4016_2005	232	D	A	-
DQ992727	duck_Guangxi_4184_2005	232	D	A	-
DQ992728	duck_Guangxi_4196_2005	232	D	A	-
DQ992729	goose_Guangxi_4289_2005	234	D	A	-
DQ992730	duck_Guangxi_4428_2005	234	D	A	-
DQ992731	goose_Guangxi_4513_2005	234	D	A	-
DQ992732	duck_Guangxi_4665_2005	232	D	A	-
DQ992733	duck_Guangxi_4830_2005	234	D	A	-
DQ992734	chicken_Guangxi_4989_2005	234	D	A	-
DQ992735	duck_Guangxi_5075_2005	234	D	A	-
DQ992736	duck_Guangxi_5165_2005	234	D	A	-
DQ992737	duck_Guangxi_5270_2005	234	D	A	-
DQ992738	goose_Guangxi_5414_2005	234	D	A	-
DQ992739	duck_Guangxi_5457_2005	234	D	A	-
DQ992741	duck_Guangxi_89_2006	232	D	A	-
DQ992742	duck_Guangxi_150_2006	234	D	A	-
DQ992743	goose_Guangxi_224_2006	234	D	A	-
DQ992744	duck_Guangxi_288_2006	234	D	A	-
DQ992745	chicken_Guangxi_463_2006	234	D	A	-
DQ992746	duck_Guangxi_392_2006	234	D	A	-
DQ992747	goose_Guangxi_582_2006	234	D	A	-
DQ992748	duck_Guangxi_619_2006	234	D	A	-
DQ992749	duck_Guangxi_744_2006	234	D	A	-
DQ992750	duck_Guangxi_804_2006	234	D	A	-
DQ992751	chicken_Guiyang_2147_2005	232	D	A	-
DQ992752	chicken_Guiyang_2173_2005	232	D	A	-
DQ992754	duck_Guiyang_3009_2005	234	D	A	-
DQ992755	chicken_Guiyang_3055_2005	234	D	A	-
DQ992756	duck_Guiyang_3242_2005	234	D	A	-
DQ992757	goose_Guiyang_3422_2005	234	D	A	-
DQ992758	chicken_Guiyang_3570_2005	234	D	A	-
DQ992759	chicken_Guiyang_3721_2005	234	D	A	-
DQ992760	duck_Guiyang_3834_2005	234	D	A	-
DQ992761	duck_Guiyang_3996_2005	234	D	A	-
DQ992762	chicken_Guiyang_4059_2005	234	D	A	-
DQ992763	chicken_Guiyang_29_2006	234	D	A	-
DQ992764	duck_Guiyang_293_2006	234	D	A	-
DQ992767	duck_Guiyang_497_2006	234	D	A	-
DQ992776	duck_Shantou_13323_2005	234	D	A	-
DQ992777	goose_Shantou_18442_2005	234	D	A	-
DQ992779	chicken_Shantou_1233_2006	234	D	A	-
DQ992782	pheasant_Shantou_2239_2006	232	D	A	-
DQ992783	goose_Shantou_3265_2006	234	D	A	-
DQ992784	goose_Shantou_3295_2006	234	D	A	-
DQ992785	chicken_Shantou_3840_2006	234	D	A	-
DQ992786	chicken_Shantou_3923_2006	234	D	A	-
DQ992787	duck_Hunan_5106_2005	234	D	A	-
DQ992788	duck_Hunan_5152_2005	234	D	A	-
DQ992790	duck_Hunan_324_2006	234	D	A	-
DQ992791	duck_Hunan_344_2006	234	D	A	-
DQ992792	duck_Hunan_856_2006	234	D	A	-
DQ992793	duck_Hunan_988_2006	234	D	A	-
DQ992794	goose_Yunnan_3315_2005	7	D	A	-
DQ992795	goose_Yunnan_3720_2005	232	D	A	-
DQ992796	goose_Yunnan_4129_2005	232	D	A	-
DQ992797	duck_Yunnan_4400_2005	232	D	A	-
DQ992798	goose_Yunnan_4494_2005	232	D	A	-
DQ992799	duck_Yunnan_4589_2005	232	D	A	-
DQ992800	goose_Yunnan_4804_2005	232	D	A	-
DQ992801	duck_Yunnan_5133_2005	7	D	A	-
DQ992802	duck_Yunnan_5236_2005	7	D	A	-
DQ992803	duck_Yunnan_5251_2005	232	D	A	-
DQ992805	goose_Yunnan_5539_2005	7	D	A	-
DQ992806	duck_Yunnan_5820_2005	232	D	A	-
DQ992807	duck_Yunnan_5877_2005	232	D	A	-
DQ992808	goose_Yunnan_6027_2005	232	D	A	-
DQ992811	goose_Yunnan_6368_2005	232	D	A	-
DQ992812	duck_Yunnan_6607_2005	232	D	A	-
DQ992819	duck_Fujian_9651_2005	234	D	A	-
DQ992820	duck_Fujian_9713_2005	234	D	A	-
DQ992821	chicken_Fujian_9821_2005	234	D	A	-
DQ992822	chicken_Fujian_10039_2005	234	D	A	-
DQ992823	chicken_Fujian_10313_2005	234	D	A	-
DQ992824	chicken_Fujian_10567_2005	234	D	A	-
DQ992825	duck_Fujian_10934_2005	234	D	A	-
DQ992826	duck_Fujian_11094_2005	234	D	A	-
DQ992827	duck_Fujian_11311_2005	234	D	A	-
DQ992828	chicken_Fujian_11933_2005	234	D	A	-
DQ992829	duck_Fujian_12032_2005	234	D	A	-
DQ992830	chicken_Fujian_12239_2005	234	D	A	-
DQ992831	chicken_Fujian_584_2006	234	D	A	-
DQ992832	duck_Fujian_668_2006	234	D	A	-
DQ992833	duck_Fujian_671_2006	234	D	A	-
DQ992836	chicken_Hong_Kong_282_2006	234	D	A	-
DQ992838	crested_myna_Hong_Kong_540_2006	234	W	A	-
DQ992839	common_magpie_Hong_Kong_645_2006	234	W	A	-
DQ992840	little_egret_Hong_Kong_718_2006	234	W	A	-
DQ992841	chicken_Hong_Kong_947_2006	234	D	A	-
DQ992842	Japanese_white_eye_Hong_Kong_1038_2006	234	W	A	-
DQ992843	common_magpie_Hong_Kong_2125_2006	234	W	A	-
DQ992844	common_magpie_Hong_Kong_2256_2006	234	W	A	-
DQ992845	munia_Hong_Kong_2454_2006	234	W	A	-
DQ992846	white_backed_munia_Hong_Kong_2469_2006	234	W	A	-
DQ992847	large_billed_crow_Hong_Kong_2512_2006	234	W	A	-
DQ992848	house_crow_Hong_Kong_2648_2006	234	W	A	-
DQ992849	house_crow_Hong_Kong_2858_2006	234	W	A	-
DQ992850	common_magpie_Hong_Kong_3033_2006	234	W	A	-
DQ993022	duck_Guangxi_2143_2006	234	D	A	-
DQ993023	duck_Guangxi_1830_2006	234	D	A	-
DQ993024	goose_Guangxi_1898_2006	234	D	A	-
DQ993025	goose_Guangxi_1633_2006	234	D	A	-
DQ993026	chicken_Guangxi_1951_2006	234	D	A	-
DQ993027	goose_Guangxi_1458_2006	234	D	A	-
DQ993028	duck_Guangxi_1436_2006	234	D	A	-
DQ993030	duck_Guangxi_1258_2006	234	D	A	-
DQ993031	chicken_Guangxi_1212_2006	234	D	A	-
DQ993114	chicken_Guangxi_683_2006	234	D	A	-
DQ993117	goose_Guangxi_532_2006	234	D	A	-
DQ997076	swine_Anhui_cb_2004	7	D	M	-
DQ997156	chicken_Hubei_wo_2003	7	D	A	-
EF137706	Shenzhen_406H_2006	234	D	M	-
EF587277	Beijing_01_2003	7	D	M	-
EF670479	duck_Hunan_15_2004	234	D	A	-
EPI1007785	enviroment_Guangdong_F3_2015	234	UN	E	-
EPI1008836	swine_Guangdong_G3_2015	234	D	M	-
EPI1009483	enviroment_Guangdong_F4_2016	234	UN	E	-
EPI1009504	Bean_goose_Hubei_CH_i119_2017	234	W	A	GISAID
EPI1009512	Herring_Gull_Hubei_CH_i149_2017_H5N8	234	W	A	-
EPI1009528	Bean_goose_Hubei_CH_i320_2017_H5N8	234	W	A	GISAID
EPI1009536	Bean_goose_Hubei_CH_i122_2017_H5N8	234	W	A	GISAID
EPI1055317	environment_Wuxi_4689_2015	232	D	E	29912708
EPI1055320	environment_Wuxi_5068_2015	232	D	E	29912708
EPI1055323	environment_Wuxi_5081_2015	232	D	E	29912708
EPI1055328	environment_Wuxi_1275_2014	232	D	E	29912708
EPI1055332	chicken_Wuxi_6074_2015	234	D	A	-
EPI1055335	duck_Wuxi_6462_2015	234	D	A	-
EPI1055338	duck_Wuxi_6466_2015	234	D	A	-
EPI1055341	environment_Wuxi_1772_2014	232	D	E	29912708
EPI1055344	chicken_Wuxi_2722_2014	232	D	A	-
EPI1055352	chicken_Wuxi_7157_2015	234	D	A	-
EPI1055360	duck_Wuxi_7249_2015	234	D	A	-
EPI1055368	chicken_Wuxi_7765_2016	234	D	A	-
EPI1060720	Duck_Zhanjiang_15577_2015	234	D	A	-
EPI1060731	Chicken_Huizhou_16274_2016	234	D	A	-
EPI1060739	Goose_Qingyuan_16875_2016	234	D	A	-
EPI1060753	Quail_Zhanjiang_16887_2016	234	D	A	-
EPI1091676	Duck_Yunnan_YN_2_2016	234	D	A	-
EPI1091684	Chicken_Yunnan_YN_3_2016	234	D	A	-
EPI1091692	Duck_Yunnan_YN_4_2015	232	D	A	-
EPI1091700	Chicken_Yunnan_YN_7_2016	234	D	A	-
EPI1093262	Chicken_Yunnan_YN_8_2016	234	D	A	-
EPI1093270	Duck_Yunnan_YN_9_2016	234	D	A	-
EPI1093278	Chicken_Yunnan_YN_10_2015	234	D	A	-
EPI1093286	Chicken_Yunnan_YN_11_2016	234	D	A	-
EPI1093294	Chicken_Yunnan_YN_12_2016	234	D	A	-
EPI1093302	Ostrich_Guangxi_GX_1_2017	234	D	A	-
EPI1093310	Quail_Guangxi_GX_2_2017	234	D	A	-
EPI1098355	Anhui_33162_2016	234	D	M	-
EPI1098356	Anhui_33163_2016	234	D	M	-
EPI1143205	Bar_headed_Goose_Qinghai_B44_2016	234	W	A	-
EPI1144047	Bar_headed_Goose_Qinghai_A22_2016	234	W	A	-
EPI1144061	Bar_headed_Goose_Qinghai_B7_2016	234	W	A	-
EPI1144069	Bar_headed_Goose_Qinghai_B54_2016	234	W	A	-
EPI1144077	Bar_headed_Goose_Qinghai_XX431_2016	234	W	A	-
EPI1144085	Bar_headed_Goose_Qinghai_XX446_2016	234	W	A	-
EPI1144093	Bar_headed_Goose_Qinghai_A17_2016	234	W	A	-
EPI1144101	Bar_headed_Goose_Qinghai_A20_2016	234	W	A	-
EPI1144109	Bar_headed_Goose_Qinghai_A12_2016	234	W	A	-
EPI1144117	Bar_headed_Goose_Qinghai_XX13_2016	234	W	A	-
EPI1144125	Bar_headed_Goose_Qinghai_XX22_2016	234	W	A	-
EPI1144133	Bar_headed_Goose_Qinghai_A19_2016	234	W	A	-
EPI1144141	Bar_headed_Goose_Qinghai_A16_2016	234	W	A	-
EPI1144149	Bar_headed_Goose_Qinghai_A13_2016	234	W	A	-
EPI1144157	Bar_headed_Goose_Qinghai_B51_2016	234	W	A	-
EPI1144165	Great_Cormorant_Qinghai_Y01_2016	234	W	A	GISAID
EPI1144173	Bar_headed_Goose_Qinghai_B34_2016	234	W	A	-
EPI1144181	Bar_headed_Goose_Qinghai_XX782_2016	234	W	A	-
EPI1144189	Great_Cormorant_Qinghai_B82_2016	234	W	A	GISAID
EPI1144198	Bar_headed_Goose_Qinghai_A21_2016	234	W	A	-
EPI1144206	Bar_headed_Goose_Qinghai_XX111_2016	234	W	A	-
EPI1144214	Bar_headed_Goose_Qinghai_B12_2016	234	W	A	-
EPI1144222	Bar_headed_Goose_Qinghai_A23_2016	234	W	A	-
EPI1144230	Bar_headed_Goose_Qinghai_XX76_2016	234	W	A	-
EPI1144246	Bar_headed_Goose_Qinghai_a32_2016	234	W	A	-
EPI1144254	Bar_headed_Goose_Qinghai_a115_2016	234	W	A	-
EPI1144361	Bar_headed_Goose_Qinghai_a113_2016	234	W	A	-
EPI1144369	Bar_headed_Goose_Qinghai_a93_2016	234	W	A	-
EPI1144377	Bar_headed_Goose_Qinghai_a61_2016	234	W	A	-
EPI1144385	Bar_headed_Goose_Qinghai_HDT001_2016	234	W	A	-
EPI1144393	Bar_headed_Goose_Qinghai_a91_2016	234	W	A	-
EPI1144401	Bar_headed_Goose_Qinghai_a92_2016	234	W	A	-
EPI1144409	Bar_headed_Goose_Qinghai_a43_2016	234	W	A	-
EPI1144417	Bar_headed_Goose_Qinghai_a24_2016	234	W	A	-
EPI1144425	Bar_headed_Goose_Qinghai_a15_2016	234	W	A	-
EPI1144433	Bar_headed_Goose_Qinghai_p18_2016	234	W	A	-
EPI1144441	Bar_headed_Goose_Qinghai_p9_2016	234	W	A	-
EPI1144449	Bar_headed_Goose_Qinghai_p23_2016	234	W	A	-
EPI1145050	Great_Cormorant_Qinghai_a51_2016	234	W	A	GISAID
EPI1145059	Bar_headed_Goose_Qinghai_p2_2016	234	W	A	-
EPI1145067	Bar_headed_Goose_Qinghai_a45_2016	234	W	A	-
EPI1145076	Bar_headed_Goose_Qinghai_a27_2016	234	W	A	-
EPI1145084	Bar_headed_Goose_Qinghai_a26_2016	234	W	A	-
EPI1145092	Bar_headed_Goose_Qinghai_a114_2016	234	W	A	-
EPI1145101	water_Qinghai_i34_39_2016	234	W	E	31306679
EPI1145109	Water_Qinghai_i40_44_2016	234	W	E	31306679
EPI1145117	Bar_headed_Goose_Qinghai_B655_2017	234	W	A	-
EPI1145125	water_Qinghai_XXII2871_2017	234	W	E	31306679
EPI1145138	Bar_headed_Goose_Qinghai_a230_2017	234	W	A	-
EPI1145146	Bar_headed_Goose_Qinghai_a218_2017	234	W	A	-
EPI1145784	Bar_headed_Goose_Qinghai_a237_2017	234	W	A	-
EPI1145792	Great_Crested_Grebe_Qinghai_a737_2017	234	W	A	GISAID
EPI1145800	Bar_headed_Goose_Qinghai_a765_2017	234	W	A	-
EPI1145808	Bar_headed_Goose_Qinghai_a893_2017	234	W	A	-
EPI1145830	Bar_headed_Goose_Qinghai_a88_2016	234	W	A	-
EPI1145846	Bar_headed_Goose_Qinghai_B11_2016	234	W	A	-
EPI1145853	Bar_headed_Goose_Qinghai_A11_2016	234	W	A	-
EPI1145868	Bar_headed_Goose_Qinghai_a210_2017	234	W	A	-
EPI1149961	Bar_headed_Goose_Qinghai_XXI122_2016	234	W	A	-
EPI1202729	Fujian_Sanyuan_21099_2017	234	D	M	-
EPI1208375	duck_Guangdong_673_2014	234	D	A	-
EPI1208376	goose_Guangdong_674_2014	234	D	A	-
EPI1215862	goose_Guangdong_SH7_2013	234	D	A	-
EPI1258041	Enviroment_Xuzhou_4018_2018	234	UN	E	-
EPI1258049	Chicken_Xuzhou_470_2017	234	D	A	-
EPI1258057	Enviroment_Xuzhou_461_2017	234	UN	E	-
EPI1326815	Jiangsu_1_2018	234	D	M	-
EPI1326831	Jiangsu_1_2018	234	D	M	-
EPI1333869	Environment_Fujiansanyuan_08_2017	234	D	E	31477028
EPI1333877	Environment_Fujian_05326_2016	234	D	E	31477028
EPI1333885	Environment_Fujian_05324_2016	234	D	E	31477028
EPI1333894	Environment_Fujian_09991_2016	234	D	E	31477028
EPI1333902	Environment_Fujian_28681_2016	234	D	E	31477028
EPI1333910	Environment_Fujian_28686_2016	234	D	E	31477028
EPI1333923	Environment_Fujian_52356_2016	234	D	E	31477028
EPI1352805	Guangxi_31906_2018	234	D	M	-
EPI1352813	Guangdong_18SF020_2018	234	D	M	-
EPI1352821	Jiangsu_32888_2018	234	D	M	-
EPI1352829	Guangxi_32797_2018	234	D	M	-
EPI1352861	Guangxi_13486_2017	234	D	M	-
EPI1369965	Hubei_29578_2016_x_PR8	234	D	M	-
EPI1369973	Fujian_Sanyuan_21099_2017_x_PR8	234	D	M	-
EPI1394202	Chicken_Yangzhou_f6_2018	234	D	A	-
EPI1394218	Chicken_Yangzhou_f9_2018	234	D	A	-
EPI1394243	Chicken_Yangzhou_f14_2018	234	D	A	-
EPI1394708	Enviroment_Changzhou_768_2017	234	UN	E	-
EPI1426910	Chicken_Suzhou_j1_2019	234	D	A	-
EPI1429229	Chicken_Suzhou_j5_2019	234	D	A	-
EPI1429237	Chicken_Suzhou_j6_2019	234	D	A	-
EPI1435089	Environment_Jiangxi_50653_2016	234	UN	E	-
EPI1435097	Environment_Jiangxi_50652_2016	234	UN	E	-
EPI1435105	Environment_Jiangxi_50624_2016	234	UN	E	-
EPI1435113	Duck_Jiangxi_50455_2016	234	D	A	-
EPI1435121	Environment_Jiangxi_50452_2016	234	UN	E	-
EPI1435129	Environment_Jiangxi_50449_2016	234	UN	E	-
EPI1435137	Duck_Jiangxi_50446_2016	234	D	A	-
EPI1435145	Environment_Jiangxi_50445_2016	234	UN	E	-
EPI1435161	Environment_Jiangxi_45191_2016	234	UN	E	-
EPI1435169	Chicken_Jiangxi_45153_2016	234	D	A	-
EPI1435177	Environment_Jiangxi_45148_2015	234	UN	E	-
EPI1435185	Chicken_Jiangxi_45093_2016	234	D	A	-
EPI1435193	Environment_Jiangxi_45084_2016	234	UN	E	-
EPI1435201	Environment_Jiangxi_44908_2015	234	UN	E	-
EPI1435209	Environment_Jiangxi_46456_2015	234	UN	E	-
EPI1435217	Environment_Jiangxi_46390_2015	234	UN	E	-
EPI1435225	Environment_Jiangxi_25004_2014	234	UN	E	-
EPI1435257	Environment_Jiangxi_24995_2014	234	UN	E	-
EPI1489548	Streptopelia_decaocto_Jiangxi_G6_2016	232	D	A	GISAID
EPI1574305	Luscinia_cyane_Jiangxi_U2_2016_H5N6	234	W	A	GISAID
EPI1574313	Streptopelia_decaocto_Jiangxi_E1_2015	234	W	A	GISAID
EPI1574321	Streptopelia_decaocto_Jiangxi_J8_2015_H5N6	234	W	A	GISAID
EPI1574329	quail_Jiangxi_B9_2015_H5N6	234	D	A	-
EPI1574337	Mallard_Jiangxi_JXH22_2014_H5N6	234	W	A	GISAID
EPI1574345	Mallard_Jiangxi_JXH9_2014_H5N6	234	W	A	GISAID
EPI1574355	duck_Jiangxi_E7_2014_H5N6	234	D	A	-
EPI1574363	chickenl_Jiangxi_E84_2014_H5N6	234	D	A	-
EPI1574371	duck_Jiangxi_F31_2014_H5N6	234	D	A	-
EPI164216	Anhui_1_2005	234	D	M	-
EPI164224	Sichuan_1_2006	234	D	M	-
EPI164232	Sichuan_2_2006	234	D	M	-
EPI164240	Anhui_2_2005	234	D	M	-
EPI164250	Fujian_1_2005	234	D	M	-
EPI164258	Guangxi_1_2005	234	D	M	-
EPI164266	Jiangxi_1_2005	234	D	M	-
EPI164739	Duck_Hunnan_70_2004	232	D	A	-
EPI267032	Hubei_1_2010	232	D	M	-
EPI279949	Zhejiang_1_2006	234	D	M	-
EPI280018	Sichuan_3_2006	234	D	M	-
EPI280025	Guangdong_2_2006	234	D	M	-
EPI280032	Anhui_1_2006	234	D	M	-
EPI280039	Anhui_1_2007	234	D	M	-
EPI280046	Hunan_1_2008	234	D	M	-
EPI280053	Guangxi_1_2008	234	D	M	-
EPI280060	Guangdong_1_2008	234	D	M	-
EPI280067	Shandong_1_2009	234	D	M	-
EPI280074	Xinjiang_1_2009	234	D	M	-
EPI280081	Guizhou_1_2009	234	D	M	-
EPI280088	Guangxi_1_2009	232	D	M	-
EPI280096	Hunan_1_2006	234	D	M	-
EPI280104	Guangdong_1_2006	234	D	M	-
EPI280112	Shanghai_1_2006	234	D	M	-
EPI280120	Hubei_1_2006	234	D	M	-
EPI280136	Fujian_1_2007	234	D	M	-
EPI280144	Jiangsu_1_2007	234	D	M	-
EPI280152	Jiangsu_2_2007	234	D	M	-
EPI280160	Beijing_1_2009	234	D	M	-
EPI280168	Hunan_1_2009	234	D	M	-
EPI280176	Hunan_2_2009	234	D	M	-
EPI280192	water_Hebei_1_2009	234	UN	E	-
EPI280200	water_Hebei_2_2009	234	UN	E	-
EPI280208	water_Hebei_3_2009	234	UN	E	-
EPI280216	duck_feces_Hebei_5_2009	234	D	A	-
EPI280224	environment_Guizhou_2_2009	234	UN	E	-
EPI280232	environment_Guizhou_4_2009	234	UN	E	-
